uid,block,style,count_anchors,emotion_anchors,intent_anchors,parent_anchors,count_in_emotion,count_not_emotion,count_in_intent,emotion_in_intent,random_expected_count_in_emotion,random_expected_emotion_in_intent,count_is_sparser
ex01_sad_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,sad,8,16,21,31,5,3,7,13,4.129032258064516,10.838709677419354,True
ex01_sad_00156,ex01::WHAT DID THE DEVIL DO NOW,sad,8,10,13,20,7,1,8,10,4.0,6.5,True
ex01_sad_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,sad,7,11,17,27,7,0,7,10,2.8518518518518516,6.925925925925926,True
ex01_sad_00168,ex01::YOU KNOW WHAT,sad,3,4,5,10,2,1,2,3,1.2,2.0,True
ex01_sad_00255,ex01::MARIAN,sad,0,1,5,6,0,0,0,1,0.0,0.8333333333333334,True
ex01_sad_00264,ex01::FOR THE FRESH FACE CONTEST,sad,5,11,14,21,5,0,5,10,2.619047619047619,7.333333333333333,True
ex01_sad_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,13,19,27,43,11,2,13,17,5.744186046511628,11.930232558139535,True
ex01_sad_00284,ex01::WHERE'D MY POPS GO,sad,3,6,9,13,3,0,3,6,1.3846153846153846,4.153846153846154,True
ex01_sad_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,sad,11,14,21,33,7,4,10,14,4.666666666666667,8.909090909090908,True
ex01_sad_00301,ex01::OKAY IS THAT IS THAT GLOVER,sad,6,8,16,23,4,2,6,8,2.0869565217391304,5.565217391304348,True
ex01_sad_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,sad,14,28,37,55,13,1,13,24,7.127272727272727,18.836363636363636,True
ex01_sad_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,sad,9,17,26,35,7,2,7,16,4.371428571428571,12.628571428571428,True
ex01_sad_00333,ex01::WHAT ARE YOU NO GOOD AT,sad,4,6,12,17,4,0,4,6,1.411764705882353,4.235294117647059,True
ex01_sad_00370,ex01::AT LEAST I DO,sad,3,5,9,14,2,1,2,4,1.0714285714285714,3.2142857142857144,True
ex01_whisper_00028,ex01::HE WROTE GULLIVER'S TRAVEL,whisper,6,16,18,28,6,0,6,14,3.4285714285714284,10.285714285714286,True
ex01_whisper_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,whisper,8,16,27,33,6,2,8,15,3.878787878787879,13.090909090909092,True
ex01_whisper_00156,ex01::WHAT DID THE DEVIL DO NOW,whisper,8,15,19,26,7,1,8,14,4.615384615384615,10.961538461538462,True
ex01_whisper_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,whisper,6,14,21,30,6,0,6,12,2.8,9.8,True
ex01_whisper_00168,ex01::YOU KNOW WHAT,whisper,2,4,8,11,2,0,2,4,0.7272727272727273,2.909090909090909,True
ex01_whisper_00255,ex01::MARIAN,whisper,0,1,5,7,0,0,0,1,0.0,0.7142857142857143,True
ex01_whisper_00264,ex01::FOR THE FRESH FACE CONTEST,whisper,6,10,14,22,6,0,6,9,2.727272727272727,6.363636363636363,True
ex01_whisper_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,11,22,33,45,10,1,10,20,5.377777777777778,16.133333333333333,True
ex01_whisper_00284,ex01::WHERE'D MY POPS GO,whisper,4,6,10,15,4,0,4,5,1.6,4.0,True
ex01_whisper_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,whisper,9,19,27,38,8,1,8,18,4.5,13.5,True
ex01_whisper_00301,ex01::OKAY IS THAT IS THAT GLOVER,whisper,7,10,18,25,4,3,6,10,2.8,7.2,True
ex01_whisper_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,whisper,14,31,37,59,14,0,14,28,7.3559322033898304,19.440677966101696,True
ex01_whisper_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,whisper,9,19,27,36,8,1,9,16,4.75,14.25,True
ex01_whisper_00333,ex01::WHAT ARE YOU NO GOOD AT,whisper,4,5,13,18,3,1,3,4,1.1111111111111112,3.611111111111111,True
ex01_whisper_00370,ex01::AT LEAST I DO,whisper,3,5,8,11,3,0,3,5,1.3636363636363635,3.6363636363636362,True
ex02_confused_00028,ex02::WHAT DO YA THINK YOU'RE DOING,confused,3,6,13,20,3,0,3,6,0.9,3.9,True
ex02_confused_00030,ex02::BUT WE ALL HAVE TO LOOK AT OURSELVES,confused,6,14,19,28,5,1,5,12,3.0,9.5,True
ex02_confused_00058,ex02::SHE'S ALWAYS HIGH AS A KITE,confused,5,13,19,28,5,0,5,12,2.3214285714285716,8.821428571428571,True
ex02_confused_00073,ex02::DELETED THE FIRST SECOND OR THIRD ONE,confused,8,16,22,37,8,0,8,15,3.4594594594594597,9.513513513513514,True
ex02_confused_00089,ex02::COMPARING AND CONTRASTING THE VARIOUS OFFENDER TYPES IS ILLUMINATING,confused,12,27,37,62,9,3,11,24,5.225806451612903,16.112903225806452,True
ex02_confused_00096,ex02::WHAT'S WITH THE LOOK,confused,3,5,11,15,3,0,3,5,1.0,3.6666666666666665,True
ex02_confused_00099,ex02::HE SAID OH BRIAN I KNOW YOU THINK YOU'RE SMART BUT IT'S DAVE BANNER,confused,16,26,42,61,13,3,13,25,6.819672131147541,17.901639344262296,True
ex02_confused_00128,ex02::YOU TRASH HOTEL ROOMS IN YOUR SLEEP,confused,6,16,23,32,5,1,5,13,3.0,11.5,True
ex02_confused_00150,ex02::HOW DO YOU SAY WELCOME IN JAPANESE,confused,8,16,23,31,6,2,7,14,4.129032258064516,11.870967741935484,True
ex02_confused_00157,ex02::WEDDING MUSIC STOPS,confused,4,10,14,19,4,0,4,7,2.1052631578947367,7.368421052631579,True
ex02_confused_00233,ex02::DID SHE JUMP IN A CAB,confused,4,10,13,21,3,1,3,10,1.9047619047619047,6.190476190476191,True
ex02_confused_00261,ex02::YACHT CLUB IN HALF AN HOUR,confused,6,9,14,19,4,2,5,9,2.8421052631578947,6.631578947368421,True
ex02_confused_00326,ex02::KAYDA WAS HER NEUROSURGEON BUT NOW IT SEEMS LIKE JAKE'S MAKING ALL THE DECISIONS,confused,18,34,46,65,16,2,18,31,9.415384615384616,24.06153846153846,True
ex02_confused_00348,ex02::WHO'S MORE MISERABLE THAN HER,confused,5,11,19,22,5,0,5,10,2.5,9.5,True
ex02_confused_00355,ex02::GIVEN THE CIRCUMSTANCES ISN'T THIS A LITTLE UNORTHODOX,confused,14,24,29,52,9,5,12,21,6.461538461538462,13.384615384615385,True
ex02_default_00028,ex02::WHAT DO YA THINK YOU'RE DOING,default,4,8,13,18,4,0,4,8,1.7777777777777777,5.777777777777778,True
ex02_default_00030,ex02::BUT WE ALL HAVE TO LOOK AT OURSELVES,default,8,15,19,25,8,0,8,15,4.8,11.4,True
ex02_default_00058,ex02::SHE'S ALWAYS HIGH AS A KITE,default,5,9,14,20,4,1,5,8,2.25,6.3,True
ex02_default_00073,ex02::DELETED THE FIRST SECOND OR THIRD ONE,default,9,14,20,28,7,2,8,12,4.5,10.0,True
ex02_default_00089,ex02::COMPARING AND CONTRASTING THE VARIOUS OFFENDER TYPES IS ILLUMINATING,default,14,26,33,52,13,1,13,23,7.0,16.5,True
ex02_default_00096,ex02::WHAT'S WITH THE LOOK,default,3,5,9,12,2,1,3,5,1.25,3.75,True
ex02_default_00099,ex02::HE SAID OH BRIAN I KNOW YOU THINK YOU'RE SMART BUT IT'S DAVE BANNER,default,15,19,28,51,12,3,13,16,5.588235294117647,10.431372549019608,True
ex02_default_00128,ex02::YOU TRASH HOTEL ROOMS IN YOUR SLEEP,default,7,15,16,28,6,1,7,13,3.75,8.571428571428571,True
ex02_default_00150,ex02::HOW DO YOU SAY WELCOME IN JAPANESE,default,7,14,18,28,6,1,7,13,3.5,9.0,True
ex02_default_00157,ex02::WEDDING MUSIC STOPS,default,4,6,12,15,3,1,4,5,1.6,4.8,True
ex02_default_00233,ex02::DID SHE JUMP IN A CAB,default,5,7,10,18,3,2,5,5,1.9444444444444444,3.888888888888889,True
ex02_default_00261,ex02::YACHT CLUB IN HALF AN HOUR,default,6,7,12,18,5,1,6,7,2.3333333333333335,4.666666666666667,True
ex02_default_00326,ex02::KAYDA WAS HER NEUROSURGEON BUT NOW IT SEEMS LIKE JAKE'S MAKING ALL THE DECISIONS,default,18,25,37,58,15,3,18,23,7.758620689655173,15.948275862068966,True
ex02_default_00348,ex02::WHO'S MORE MISERABLE THAN HER,default,5,7,11,20,5,0,5,7,1.75,3.85,True
ex02_default_00355,ex02::GIVEN THE CIRCUMSTANCES ISN'T THIS A LITTLE UNORTHODOX,default,14,28,30,47,13,1,14,24,8.340425531914894,17.872340425531913,True
ex02_enunciated_00028,ex02::WHAT DO YA THINK YOU'RE DOING,enunciated,5,13,20,26,5,0,5,11,2.5,10.0,True
ex02_enunciated_00030,ex02::BUT WE ALL HAVE TO LOOK AT OURSELVES,enunciated,9,17,26,36,9,0,9,16,4.25,12.277777777777779,True
ex02_enunciated_00058,ex02::SHE'S ALWAYS HIGH AS A KITE,enunciated,5,15,22,28,5,0,5,14,2.6785714285714284,11.785714285714286,True
ex02_enunciated_00073,ex02::DELETED THE FIRST SECOND OR THIRD ONE,enunciated,10,19,26,36,8,2,9,17,5.277777777777778,13.722222222222221,True
ex02_enunciated_00089,ex02::COMPARING AND CONTRASTING THE VARIOUS OFFENDER TYPES IS ILLUMINATING,enunciated,18,37,45,69,17,1,17,30,9.652173913043478,24.130434782608695,True
ex02_enunciated_00096,ex02::WHAT'S WITH THE LOOK,enunciated,4,9,12,16,4,0,3,7,2.25,6.75,True
ex02_enunciated_00099,ex02::HE SAID OH BRIAN I KNOW YOU THINK YOU'RE SMART BUT IT'S DAVE BANNER,enunciated,13,23,44,60,10,3,12,22,4.983333333333333,16.866666666666667,True
ex02_enunciated_00128,ex02::YOU TRASH HOTEL ROOMS IN YOUR SLEEP,enunciated,6,16,25,30,6,0,6,15,3.2,13.333333333333334,True
ex02_enunciated_00150,ex02::HOW DO YOU SAY WELCOME IN JAPANESE,enunciated,8,15,25,33,7,1,7,15,3.6363636363636362,11.363636363636363,True
ex02_enunciated_00157,ex02::WEDDING MUSIC STOPS,enunciated,3,11,16,20,3,0,3,10,1.65,8.8,True
ex02_enunciated_00233,ex02::DID SHE JUMP IN A CAB,enunciated,5,12,15,22,5,0,5,11,2.727272727272727,8.181818181818182,True
ex02_enunciated_00261,ex02::YACHT CLUB IN HALF AN HOUR,enunciated,4,11,16,22,4,0,4,11,2.0,8.0,True
ex02_enunciated_00326,ex02::KAYDA WAS HER NEUROSURGEON BUT NOW IT SEEMS LIKE JAKE'S MAKING ALL THE DECISIONS,enunciated,19,40,51,71,18,1,18,39,10.704225352112676,28.732394366197184,True
ex02_enunciated_00348,ex02::WHO'S MORE MISERABLE THAN HER,enunciated,6,11,18,22,6,0,6,11,3.0,9.0,True
ex02_enunciated_00355,ex02::GIVEN THE CIRCUMSTANCES ISN'T THIS A LITTLE UNORTHODOX,enunciated,16,29,37,54,11,5,15,23,8.592592592592593,19.87037037037037,True
ex02_happy_00028,ex02::WHAT DO YA THINK YOU'RE DOING,happy,5,5,12,19,3,2,4,5,1.3157894736842106,3.1578947368421053,True
ex02_happy_00030,ex02::BUT WE ALL HAVE TO LOOK AT OURSELVES,happy,7,14,17,26,6,1,6,11,3.769230769230769,9.153846153846153,True
ex02_happy_00058,ex02::SHE'S ALWAYS HIGH AS A KITE,happy,5,12,16,23,5,0,5,11,2.608695652173913,8.347826086956522,True
ex02_happy_00073,ex02::DELETED THE FIRST SECOND OR THIRD ONE,happy,10,15,21,30,9,1,10,14,5.0,10.5,True
ex02_happy_00089,ex02::COMPARING AND CONTRASTING THE VARIOUS OFFENDER TYPES IS ILLUMINATING,happy,14,30,37,55,11,3,14,25,7.636363636363637,20.181818181818183,True
ex02_happy_00096,ex02::WHAT'S WITH THE LOOK,happy,3,7,10,14,3,0,3,7,1.5,5.0,True
ex02_happy_00099,ex02::HE SAID OH BRIAN I KNOW YOU THINK YOU'RE SMART BUT IT'S DAVE BANNER,happy,14,20,33,52,11,3,12,18,5.384615384615385,12.692307692307692,True
ex02_happy_00128,ex02::YOU TRASH HOTEL ROOMS IN YOUR SLEEP,happy,7,16,21,27,7,0,7,16,4.148148148148148,12.444444444444445,True
ex02_happy_00150,ex02::HOW DO YOU SAY WELCOME IN JAPANESE,happy,9,12,19,29,6,3,9,11,3.7241379310344827,7.862068965517241,True
ex02_happy_00157,ex02::WEDDING MUSIC STOPS,happy,5,8,14,17,4,1,5,7,2.3529411764705883,6.588235294117647,True
ex02_happy_00233,ex02::DID SHE JUMP IN A CAB,happy,6,8,12,19,4,2,5,8,2.526315789473684,5.052631578947368,True
ex02_happy_00261,ex02::YACHT CLUB IN HALF AN HOUR,happy,6,9,14,20,4,2,5,9,2.7,6.3,True
ex02_happy_00326,ex02::KAYDA WAS HER NEUROSURGEON BUT NOW IT SEEMS LIKE JAKE'S MAKING ALL THE DECISIONS,happy,15,25,37,53,15,0,15,23,7.0754716981132075,17.452830188679247,True
ex02_happy_00348,ex02::WHO'S MORE MISERABLE THAN HER,happy,5,7,15,21,4,1,5,7,1.6666666666666667,5.0,True
ex02_happy_00355,ex02::GIVEN THE CIRCUMSTANCES ISN'T THIS A LITTLE UNORTHODOX,happy,14,24,30,48,12,2,13,20,7.0,15.0,True
ex02_laughing_00028,ex02::WHAT DO YA THINK YOU'RE DOING,laughing,4,10,17,24,4,0,4,10,1.6666666666666667,7.083333333333333,True
ex02_laughing_00030,ex02::BUT WE ALL HAVE TO LOOK AT OURSELVES,laughing,6,18,23,33,6,0,6,15,3.272727272727273,12.545454545454545,True
ex02_laughing_00058,ex02::SHE'S ALWAYS HIGH AS A KITE,laughing,5,12,16,25,5,0,5,11,2.4,7.68,True
ex02_laughing_00073,ex02::DELETED THE FIRST SECOND OR THIRD ONE,laughing,9,16,22,35,8,1,8,15,4.114285714285714,10.057142857142857,True
ex02_laughing_00089,ex02::COMPARING AND CONTRASTING THE VARIOUS OFFENDER TYPES IS ILLUMINATING,laughing,14,36,42,63,14,0,14,32,8.0,24.0,True
ex02_laughing_00096,ex02::WHAT'S WITH THE LOOK,laughing,4,7,11,15,4,0,4,7,1.8666666666666667,5.133333333333334,True
ex02_laughing_00099,ex02::HE SAID OH BRIAN I KNOW YOU THINK YOU'RE SMART BUT IT'S DAVE BANNER,laughing,13,29,41,64,10,3,11,27,5.890625,18.578125,True
ex02_laughing_00128,ex02::YOU TRASH HOTEL ROOMS IN YOUR SLEEP,laughing,9,18,25,34,7,2,8,15,4.764705882352941,13.235294117647058,True
ex02_laughing_00150,ex02::HOW DO YOU SAY WELCOME IN JAPANESE,laughing,7,14,20,33,6,1,6,11,2.9696969696969697,8.484848484848484,True
ex02_laughing_00157,ex02::WEDDING MUSIC STOPS,laughing,3,11,17,23,3,0,3,10,1.434782608695652,8.130434782608695,True
ex02_laughing_00233,ex02::DID SHE JUMP IN A CAB,laughing,5,10,14,23,4,1,5,9,2.1739130434782608,6.086956521739131,True
ex02_laughing_00261,ex02::YACHT CLUB IN HALF AN HOUR,laughing,6,13,16,25,4,2,3,12,3.12,8.32,True
ex02_laughing_00326,ex02::KAYDA WAS HER NEUROSURGEON BUT NOW IT SEEMS LIKE JAKE'S MAKING ALL THE DECISIONS,laughing,21,32,44,61,17,4,20,29,11.01639344262295,23.081967213114755,True
ex02_laughing_00348,ex02::WHO'S MORE MISERABLE THAN HER,laughing,5,13,21,26,5,0,5,12,2.5,10.5,True
ex02_laughing_00355,ex02::GIVEN THE CIRCUMSTANCES ISN'T THIS A LITTLE UNORTHODOX,laughing,15,25,32,54,11,4,13,20,6.944444444444445,14.814814814814815,True
ex02_sad_00028,ex02::WHAT DO YA THINK YOU'RE DOING,sad,4,9,15,21,4,0,4,9,1.7142857142857142,6.428571428571429,True
ex02_sad_00030,ex02::BUT WE ALL HAVE TO LOOK AT OURSELVES,sad,7,18,22,30,7,0,7,17,4.2,13.2,True
ex02_sad_00058,ex02::SHE'S ALWAYS HIGH AS A KITE,sad,5,9,17,24,5,0,5,9,1.875,6.375,True
ex02_sad_00073,ex02::DELETED THE FIRST SECOND OR THIRD ONE,sad,8,19,22,33,8,0,8,18,4.606060606060606,12.666666666666666,True
ex02_sad_00089,ex02::COMPARING AND CONTRASTING THE VARIOUS OFFENDER TYPES IS ILLUMINATING,sad,14,28,40,58,12,2,14,26,6.758620689655173,19.310344827586206,True
