uid,block,a,b,tol_ms,hits,den,twice_hits,a_n,b_n,b_covered
ex01_confused_00255,ex01::MARIAN,intent_3408_last,speaker_count_3408_last,0,2,13,4,8,5,2
ex01_confused_00255,ex01::MARIAN,intent_3408_last,speaker_count_3408_last,20,3,13,6,8,5,3
ex01_confused_00255,ex01::MARIAN,intent_3408_last,speaker_count_3408_last,40,3,13,6,8,5,3
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,emotion_3408,0,9,33,18,22,11,9
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,emotion_3408,20,11,33,22,22,11,11
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,emotion_3408,40,11,33,22,22,11,11
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,intent_3408_last,0,11,37,22,22,15,11
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,intent_3408_last,20,14,37,28,22,15,14
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,intent_3408_last,40,15,37,30,22,15,15
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,speaker_count_3408_last,0,4,29,8,22,7,4
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,speaker_count_3408_last,20,6,29,12,22,7,6
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,asr_3408,speaker_count_3408_last,40,7,29,14,22,7,7
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,emotion_3408,intent_3408_last,0,7,26,14,11,15,7
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,emotion_3408,intent_3408_last,20,11,26,22,11,15,11
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,emotion_3408,intent_3408_last,40,11,26,22,11,15,12
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,emotion_3408,speaker_count_3408_last,0,4,18,8,11,7,4
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,emotion_3408,speaker_count_3408_last,20,6,18,12,11,7,6
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,emotion_3408,speaker_count_3408_last,40,7,18,14,11,7,7
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,intent_3408_last,speaker_count_3408_last,0,4,22,8,15,7,4
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,intent_3408_last,speaker_count_3408_last,20,6,22,12,15,7,6
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,intent_3408_last,speaker_count_3408_last,40,7,22,14,15,7,7
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,emotion_3408,0,13,67,26,47,20,13
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,emotion_3408,20,20,67,40,47,20,20
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,emotion_3408,40,20,67,40,47,20,20
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,intent_3408_last,0,15,76,30,47,29,15
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,intent_3408_last,20,29,76,58,47,29,29
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,intent_3408_last,40,29,76,58,47,29,29
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,speaker_count_3408_last,0,5,59,10,47,12,5
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,speaker_count_3408_last,20,11,59,22,47,12,11
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,asr_3408,speaker_count_3408_last,40,11,59,22,47,12,11
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,emotion_3408,intent_3408_last,0,13,49,26,20,29,13
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,emotion_3408,intent_3408_last,20,19,49,38,20,29,19
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,emotion_3408,intent_3408_last,40,20,49,40,20,29,21
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,emotion_3408,speaker_count_3408_last,0,4,32,8,20,12,4
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,emotion_3408,speaker_count_3408_last,20,10,32,20,20,12,10
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,emotion_3408,speaker_count_3408_last,40,10,32,20,20,12,10
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,intent_3408_last,speaker_count_3408_last,0,7,41,14,29,12,7
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,intent_3408_last,speaker_count_3408_last,20,11,41,22,29,12,11
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,intent_3408_last,speaker_count_3408_last,40,11,41,22,29,12,11
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,emotion_3408,0,4,23,8,16,7,4
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,emotion_3408,20,6,23,12,16,7,6
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,emotion_3408,40,7,23,14,16,7,7
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,intent_3408_last,0,7,27,14,16,11,7
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,intent_3408_last,20,10,27,20,16,11,10
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,intent_3408_last,40,11,27,22,16,11,11
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,speaker_count_3408_last,0,4,21,8,16,5,4
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,speaker_count_3408_last,20,5,21,10,16,5,5
ex01_confused_00284,ex01::WHERE'D MY POPS GO,asr_3408,speaker_count_3408_last,40,5,21,10,16,5,5
ex01_confused_00284,ex01::WHERE'D MY POPS GO,emotion_3408,intent_3408_last,0,4,18,8,7,11,4
ex01_confused_00284,ex01::WHERE'D MY POPS GO,emotion_3408,intent_3408_last,20,7,18,14,7,11,7
ex01_confused_00284,ex01::WHERE'D MY POPS GO,emotion_3408,intent_3408_last,40,7,18,14,7,11,8
ex01_confused_00284,ex01::WHERE'D MY POPS GO,emotion_3408,speaker_count_3408_last,0,3,12,6,7,5,3
ex01_confused_00284,ex01::WHERE'D MY POPS GO,emotion_3408,speaker_count_3408_last,20,5,12,10,7,5,5
ex01_confused_00284,ex01::WHERE'D MY POPS GO,emotion_3408,speaker_count_3408_last,40,5,12,10,7,5,5
ex01_confused_00284,ex01::WHERE'D MY POPS GO,intent_3408_last,speaker_count_3408_last,0,4,16,8,11,5,4
ex01_confused_00284,ex01::WHERE'D MY POPS GO,intent_3408_last,speaker_count_3408_last,20,5,16,10,11,5,5
ex01_confused_00284,ex01::WHERE'D MY POPS GO,intent_3408_last,speaker_count_3408_last,40,5,16,10,11,5,5
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,emotion_3408,0,10,54,20,36,18,10
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,emotion_3408,20,17,54,34,36,18,17
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,emotion_3408,40,18,54,36,36,18,18
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,intent_3408_last,0,14,62,28,36,26,14
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,intent_3408_last,20,25,62,50,36,26,25
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,intent_3408_last,40,26,62,52,36,26,26
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,speaker_count_3408_last,0,5,48,10,36,12,5
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,speaker_count_3408_last,20,9,48,18,36,12,9
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,asr_3408,speaker_count_3408_last,40,12,48,24,36,12,12
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,emotion_3408,intent_3408_last,0,14,44,28,18,26,14
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,emotion_3408,intent_3408_last,20,17,44,34,18,26,18
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,emotion_3408,intent_3408_last,40,17,44,34,18,26,19
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,emotion_3408,speaker_count_3408_last,0,4,30,8,18,12,4
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,emotion_3408,speaker_count_3408_last,20,9,30,18,18,12,9
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,emotion_3408,speaker_count_3408_last,40,10,30,20,18,12,10
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,intent_3408_last,speaker_count_3408_last,0,5,38,10,26,12,5
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,intent_3408_last,speaker_count_3408_last,20,11,38,22,26,12,11
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,intent_3408_last,speaker_count_3408_last,40,12,38,24,26,12,12
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,emotion_3408,0,8,42,16,30,12,8
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,emotion_3408,20,11,42,22,30,12,11
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,emotion_3408,40,11,42,22,30,12,11
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,intent_3408_last,0,13,50,26,30,20,13
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,intent_3408_last,20,20,50,40,30,20,20
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,intent_3408_last,40,20,50,40,30,20,20
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,speaker_count_3408_last,0,5,39,10,30,9,5
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,speaker_count_3408_last,20,7,39,14,30,9,7
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,asr_3408,speaker_count_3408_last,40,8,39,16,30,9,8
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,emotion_3408,intent_3408_last,0,7,32,14,12,20,7
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,emotion_3408,intent_3408_last,20,10,32,20,12,20,10
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,emotion_3408,intent_3408_last,40,11,32,22,12,20,12
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,emotion_3408,speaker_count_3408_last,0,2,21,4,12,9,2
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,emotion_3408,speaker_count_3408_last,20,4,21,8,12,9,4
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,emotion_3408,speaker_count_3408_last,40,6,21,12,12,9,6
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,intent_3408_last,speaker_count_3408_last,0,2,29,4,20,9,2
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,intent_3408_last,speaker_count_3408_last,20,6,29,12,20,9,6
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,intent_3408_last,speaker_count_3408_last,40,8,29,16,20,9,8
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,emotion_3408,0,23,99,46,62,37,23
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,emotion_3408,20,34,99,68,62,37,34
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,emotion_3408,40,37,99,74,62,37,37
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,intent_3408_last,0,38,109,76,62,47,38
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,intent_3408_last,20,47,109,94,62,47,47
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,intent_3408_last,40,47,109,94,62,47,47
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,speaker_count_3408_last,0,6,77,12,62,15,6
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,speaker_count_3408_last,20,15,77,30,62,15,15
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,asr_3408,speaker_count_3408_last,40,15,77,30,62,15,15
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,emotion_3408,intent_3408_last,0,23,84,46,37,47,23
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,emotion_3408,intent_3408_last,20,32,84,64,37,47,32
