uid,block,policy,event,offset_ms,tol_ms,hits,cuts,refs,den,twice_hits
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,valley,12.5,40.0,4,15,8,23,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,rise,0.0,20.0,6,23,14,37,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,rise,0.0,40.0,9,23,14,37,18
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,rise,12.5,20.0,8,23,14,37,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,rise,12.5,40.0,11,23,14,37,22
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,fall,0.0,20.0,3,23,14,37,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,fall,0.0,40.0,7,23,14,37,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,fall,12.5,20.0,6,23,14,37,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,fall,12.5,40.0,8,23,14,37,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,peak,0.0,20.0,3,23,9,32,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,peak,0.0,40.0,7,23,9,32,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,peak,12.5,20.0,4,23,9,32,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,peak,12.5,40.0,7,23,9,32,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,valley,0.0,20.0,1,23,8,31,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,valley,0.0,40.0,3,23,8,31,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,valley,12.5,20.0,1,23,8,31,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,valley,12.5,40.0,4,23,8,31,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,rise,0.0,20.0,4,9,14,23,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,rise,0.0,40.0,7,9,14,23,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,rise,12.5,20.0,6,9,14,23,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,rise,12.5,40.0,7,9,14,23,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,fall,0.0,20.0,1,9,14,23,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,fall,0.0,40.0,1,9,14,23,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,fall,12.5,20.0,1,9,14,23,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,fall,12.5,40.0,3,9,14,23,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,peak,0.0,20.0,1,9,9,18,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,peak,0.0,40.0,3,9,9,18,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,peak,12.5,20.0,3,9,9,18,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,peak,12.5,40.0,3,9,9,18,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,valley,0.0,20.0,0,9,8,17,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,valley,0.0,40.0,2,9,8,17,4
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,valley,12.5,20.0,0,9,8,17,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,speaker_count_3408_last,valley,12.5,40.0,2,9,8,17,4
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,rise,0.0,20.0,5,17,14,31,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,rise,0.0,40.0,6,17,14,31,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,rise,12.5,20.0,5,17,14,31,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,rise,12.5,40.0,8,17,14,31,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,fall,0.0,20.0,5,17,14,31,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,fall,0.0,40.0,6,17,14,31,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,fall,12.5,20.0,6,17,14,31,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,fall,12.5,40.0,8,17,14,31,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,peak,0.0,20.0,3,17,9,26,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,peak,0.0,40.0,4,17,9,26,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,peak,12.5,20.0,4,17,9,26,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,peak,12.5,40.0,5,17,9,26,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,valley,0.0,20.0,1,17,8,25,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,valley,0.0,40.0,4,17,8,25,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,valley,12.5,20.0,2,17,8,25,4
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3407,valley,12.5,40.0,5,17,8,25,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,rise,0.0,20.0,3,13,14,27,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,rise,0.0,40.0,5,13,14,27,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,rise,12.5,20.0,3,13,14,27,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,rise,12.5,40.0,6,13,14,27,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,fall,0.0,20.0,3,13,14,27,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,fall,0.0,40.0,3,13,14,27,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,fall,12.5,20.0,3,13,14,27,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,fall,12.5,40.0,5,13,14,27,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,peak,0.0,20.0,3,13,9,22,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,peak,0.0,40.0,5,13,9,22,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,peak,12.5,20.0,4,13,9,22,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,peak,12.5,40.0,6,13,9,22,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,valley,0.0,20.0,0,13,8,21,0
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,valley,0.0,40.0,2,13,8,21,4
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,valley,12.5,20.0,1,13,8,21,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,valley,12.5,40.0,3,13,8,21,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,rise,0.0,20.0,7,33,16,49,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,rise,0.0,40.0,12,33,16,49,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,rise,12.5,20.0,12,33,16,49,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,rise,12.5,40.0,13,33,16,49,26
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,fall,0.0,20.0,6,33,16,49,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,fall,0.0,40.0,9,33,16,49,18
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,fall,12.5,20.0,7,33,16,49,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,fall,12.5,40.0,12,33,16,49,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,peak,0.0,20.0,4,33,7,40,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,peak,0.0,40.0,4,33,7,40,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,peak,12.5,20.0,4,33,7,40,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,peak,12.5,40.0,7,33,7,40,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,valley,0.0,20.0,2,33,6,39,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,valley,0.0,40.0,3,33,6,39,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,valley,12.5,20.0,2,33,6,39,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,valley,12.5,40.0,4,33,6,39,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,rise,0.0,20.0,5,18,16,34,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,rise,0.0,40.0,9,18,16,34,18
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,rise,12.5,20.0,7,18,16,34,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,rise,12.5,40.0,10,18,16,34,20
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,fall,0.0,20.0,5,18,16,34,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,fall,0.0,40.0,6,18,16,34,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,fall,12.5,20.0,5,18,16,34,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,fall,12.5,40.0,8,18,16,34,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,peak,0.0,20.0,1,18,7,25,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,peak,0.0,40.0,1,18,7,25,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,peak,12.5,20.0,1,18,7,25,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,peak,12.5,40.0,5,18,7,25,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,valley,0.0,20.0,1,18,6,24,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,valley,0.0,40.0,4,18,6,24,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,valley,12.5,20.0,4,18,6,24,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,valley,12.5,40.0,4,18,6,24,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,rise,0.0,20.0,7,26,16,42,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,rise,0.0,40.0,11,26,16,42,22
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,rise,12.5,20.0,10,26,16,42,20
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,rise,12.5,40.0,12,26,16,42,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,fall,0.0,20.0,4,26,16,42,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,fall,0.0,40.0,8,26,16,42,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,fall,12.5,20.0,5,26,16,42,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,fall,12.5,40.0,9,26,16,42,18
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,peak,0.0,20.0,2,26,7,33,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,peak,0.0,40.0,2,26,7,33,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,peak,12.5,20.0,2,26,7,33,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,peak,12.5,40.0,6,26,7,33,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,valley,0.0,20.0,1,26,6,32,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,valley,0.0,40.0,2,26,6,32,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,valley,12.5,20.0,2,26,6,32,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,valley,12.5,40.0,3,26,6,32,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,rise,0.0,20.0,6,11,16,27,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,rise,0.0,40.0,9,11,16,27,18
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,rise,12.5,20.0,7,11,16,27,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,rise,12.5,40.0,9,11,16,27,18
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,fall,0.0,20.0,0,11,16,27,0
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,fall,0.0,40.0,1,11,16,27,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,fall,12.5,20.0,0,11,16,27,0
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,fall,12.5,40.0,3,11,16,27,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,peak,0.0,20.0,0,11,7,18,0
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,peak,0.0,40.0,1,11,7,18,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,peak,12.5,20.0,1,11,7,18,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,peak,12.5,40.0,3,11,7,18,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,valley,0.0,20.0,0,11,6,17,0
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,valley,0.0,40.0,0,11,6,17,0
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,valley,12.5,20.0,0,11,6,17,0
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,valley,12.5,40.0,0,11,6,17,0
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,rise,0.0,20.0,5,20,16,36,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,rise,0.0,40.0,8,20,16,36,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,rise,12.5,20.0,7,20,16,36,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,rise,12.5,40.0,11,20,16,36,22
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,fall,0.0,20.0,3,20,16,36,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,fall,0.0,40.0,5,20,16,36,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,fall,12.5,20.0,4,20,16,36,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,fall,12.5,40.0,6,20,16,36,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,peak,0.0,20.0,1,20,7,27,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,peak,0.0,40.0,1,20,7,27,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,peak,12.5,20.0,1,20,7,27,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,peak,12.5,40.0,6,20,7,27,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,valley,0.0,20.0,1,20,6,26,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,valley,0.0,40.0,3,20,6,26,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,valley,12.5,20.0,3,20,6,26,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,valley,12.5,40.0,3,20,6,26,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,rise,0.0,20.0,5,16,16,32,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,rise,0.0,40.0,6,16,16,32,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,rise,12.5,20.0,6,16,16,32,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,rise,12.5,40.0,8,16,16,32,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,fall,0.0,20.0,4,16,16,32,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,fall,0.0,40.0,6,16,16,32,12
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,fall,12.5,20.0,5,16,16,32,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,fall,12.5,40.0,7,16,16,32,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,peak,0.0,20.0,1,16,7,23,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,peak,0.0,40.0,1,16,7,23,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,peak,12.5,20.0,1,16,7,23,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,peak,12.5,40.0,5,16,7,23,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,valley,0.0,20.0,1,16,6,22,2
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,valley,0.0,40.0,4,16,6,22,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,valley,12.5,20.0,4,16,6,22,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,valley,12.5,40.0,4,16,6,22,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,rise,0.0,20.0,6,20,11,31,12
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,rise,0.0,40.0,8,20,11,31,16
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,rise,12.5,20.0,8,20,11,31,16
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,rise,12.5,40.0,10,20,11,31,20
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,fall,0.0,20.0,4,20,11,31,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,fall,0.0,40.0,5,20,11,31,10
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,fall,12.5,20.0,5,20,11,31,10
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,fall,12.5,40.0,5,20,11,31,10
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,peak,0.0,20.0,3,20,8,28,6
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,peak,0.0,40.0,5,20,8,28,10
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,peak,12.5,20.0,4,20,8,28,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,peak,12.5,40.0,6,20,8,28,12
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,valley,0.0,20.0,2,20,7,27,4
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,valley,0.0,40.0,3,20,7,27,6
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,valley,12.5,20.0,3,20,7,27,6
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,valley,12.5,40.0,3,20,7,27,6
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,rise,0.0,20.0,5,13,11,24,10
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,rise,0.0,40.0,8,13,11,24,16
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,rise,12.5,20.0,8,13,11,24,16
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,rise,12.5,40.0,9,13,11,24,18
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,fall,0.0,20.0,2,13,11,24,4
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,fall,0.0,40.0,3,13,11,24,6
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,fall,12.5,20.0,2,13,11,24,4
